OBJECTID,STATUT,MODE_POSE,AUT_PASSAG,AUT_PASS_1,NATURE_CON,TYPE_LONGU,LONGUEUR,NOTE,COMPOSITIO,ID_PROPRIE,INDEX_DOC_,ENABLED,ORIGINE,LABEL_CABL,NB_CABLE,ORANGE,CLASSE,LARGEUR,HAUTEUR,EXPLOITATI,MAINTENANC,GESTION,CONVENTION,REF_CONVEN,MODIF_DATE,MODIF_AUTE,MODIF_ETUD,METRIC,IS_ANTENNA,RECALAGE_D,SHAPE_LEN,latitude,longitude
5055360,E,7,0,,A,D,5.97,P/59535,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-07,WZQS5758NP,,0,0,,5.97309702073,50.77006362659736,2.7280473204728883
5055609,E,4,0,,N,D,150.29,,,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,150.23396245,50.77085195879988,2.722398291657281
5056034,E,7,0,,A,D,106.51,,5Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,106.503223887,50.76761060680764,2.7252953562702755
5056041,E,7,0,,A,D,39.81,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,39.8011315084,50.767349950199915,2.725063247130461
5056852,E,7,0,,A,D,77.76,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,77.7239034693,50.77524618910361,2.738480853105804
5056853,E,7,0,,A,D,39.52,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,39.4905586912,50.77542580649381,2.738359935428226
5058032,E,7,0,,A,D,2.93,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,2.929724578,50.774650862682776,2.74264166865846
5070006,E,7,0,,A,D,36.99,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,36.9906060684,50.76414240029132,2.7190748236887496
5070010,E,7,0,,A,D,3.28,,1Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,3.2783273245,50.764318669541325,2.719233671540725
5070041,E,7,0,,A,D,109.23,,3Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,109.207025283,50.7633762398853,2.721589439447648
5070936,E,7,0,,A,D,69.99,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,69.9638954788,50.76539181999146,2.7149346220220787
5070940,E,7,0,,A,D,13.27,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,13.2619917821,50.76534665277456,2.7144011932866556
5070942,E,7,0,,A,D,79.68,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,79.676431509,50.76618081231218,2.7138374497390614
5070943,E,7,0,,A,D,44.71,,3Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,44.7036222615,50.76618838257951,2.714085881908466
5071044,E,7,0,,A,D,104.33,,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,,,,0,0,,104.327589113,50.76616914671686,2.713066426065563
5071189,E,4,0,,N,D,199.81,P/59535,,1,0,1,0,,1,1,B,0,0,0,0,0,0,,2021-04-02,WZQS5758NP,,0,0,,199.800119169,50.76634075422792,2.706814714633535
5071711,E,2,0,,N,D,22.21,P/59535,,1,0,1,1,,0,1,,0,0,0,0,0,0,,2021-04-08,WZQS5758NP,,0,0,,22.2051566236,50.76317536613575,2.7209482274324803
