OBJECTID,STATUT,IMPLANT,NATURE_CHA,REF_CHAMBR,REF_NOTE,CODE_COM,CODE_VOIE,NUM_VOIE,ID_PROPRIE,ACC_DEPORT,VENTIL,PLAFON,ID_GESTION,TYPE_TRAPP,QUANTIFICA,INDEX_DOC_,ID_NOEUD,ROTATION,CODE_CH1,CODE_CH2,NOTE,SECURISEE,ATTENTE,CLE_MKT1,CLE_MKT2,CODE_CH1_C,CODE_CH2_P,ORANGE,CLASSE,EXPLOITATI,MAINTENANC,GESTION,CONVENTION,REF_CONVEN,MODIF_DATE,MODIF_AUTE,MODIF_ETUD,COMPOSITE,DATE_SECU,FABRICANT,METRIC,FAR_NETWRK,RECALAGE_D,geometry,latitude,longitude
2417334,E,T,R,L1T,,62588,0880,,1,0,0,0,0,T,,0,9554660,90.7,315,62588,ENV-62588,0,,62588|0880|,315|62588,585,62588,1,B,0,0,0,0,,2015-05-06,pwnext475,,0,,,0,0,,POINT (1.764695089596063 50.46678418417802),50.46678418417802,1.764695089596063
2417336,E,T,R,L2T,,62588,0880,,1,0,0,0,0,T,,0,9554662,303.8,317,62588,ENV-62588-D,0,,62588|0880|,317|62588,583,62588,1,B,0,0,0,0,,2015-05-06,pwnext475,,0,,,0,0,,POINT (1.764319809376168 50.46767186002627),50.46767186002627,1.764319809376168
2417398,E,T,R,A2,,62588,1242,,1,0,0,0,0,T,,0,9553256,342.0,327,62588,ENV-62588-D,0,,62588|1242|,327|62588,461,62588,1,B,0,0,0,0,,2015-05-06,pwnext475,,0,,,0,0,,POINT (1.769460521192025 50.46702407146516),50.46702407146516,1.769460521192025
2417608,E,T,R,L2T,,62588,0372,,1,0,0,0,0,T,,0,9555598,279.4,345,62588,MaN EUROVIA 12/2020,0,,,,478,62588,1,B,0,0,0,0,,2020-12-04,nnjc0380,,0,,,0,0,,POINT (1.7710231344177132 50.4657801777551),50.4657801777551,1.7710231344177132
2417612,E,T,R,A3,,62588,0380,,1,0,0,0,0,T,,0,9555763,276.6,349,62588,ENV-62588-D,0,,62588|0380|,349|62588,133,62588,1,B,0,0,0,0,,2015-05-06,pwnext475,,0,,,0,0,,POINT (1.7612309354851938 50.46496809673492),50.46496809673492,1.7612309354851938
2418594,E,T,R,A3,,62588,1053,,1,0,0,0,0,T,,0,9558337,21.8,355,62588,ENV-62588-D,0,,62588|1053|,355|62588,130,62588,1,B,0,0,0,0,,2015-05-11,pwnext475,,0,,,0,0,,POINT (1.7601371829491417 50.46398507215093),50.46398507215093,1.7601371829491417
2418596,E,T,R,L1T,,62588,1053,,1,0,0,0,0,T,,0,4593877,36.0,357,62588,ENV-62588-D,0,,62588|1053|,357|62588,560,62588,1,B,0,0,0,0,,2015-05-11,pwnext475,,0,,,0,0,,POINT (1.7597252741832512 50.463911462101414),50.463911462101414,1.7597252741832512
2418833,E,T,R,L0T,,62588,0560,,1,0,0,0,0,T,,0,9558983,75.4,366,62588,ENV-62588-D,0,,62588|0560|,366|62588,,,1,B,0,0,0,0,,2015-05-11,pwnext475,,0,,,0,0,,POINT (1.7579057247763261 50.459096471676325),50.459096471676325,1.7579057247763261
2569076,E,T,R,L0T,,62289,0400,,1,0,0,0,0,,,0,9911999,239.1,78,62289,ENV-62289-C2,0,,62289|0400|,78|62289,,62289,1,B,0,0,0,0,,2016-11-10,pwnext974,,0,,,0,0,,POINT (1.7614124395926247 50.459046898094044),50.459046898094044,1.7614124395926247
2794961,E,T,R,REG,,62588,,,321,0,0,0,0,T,,0,10448098,333.2,402,62588,,0,,,,,,0,C,0,0,0,0,,2019-07-25,rxmw3452,,0,,,0,0,,POINT (1.7703104711173931 50.46443473037129),50.46443473037129,1.7703104711173931
2856790,E,T,R,L2T,,62588,,,1,0,0,0,0,T,,0,10572614,80.0,409,62588,$CHGEO + ROST,0,,,,,,1,C,0,0,0,0,,2020-04-15,GMHM2031NP,,0,,,0,0,,POINT (1.7576755176247827 50.45812388097781),50.45812388097781,1.7576755176247827
2982890,E,T,R,REG,,62588,,,321,0,0,0,0,T,,0,10831164,331.0,422,62588,,0,,,,,,0,C,0,0,0,0,,2021-10-04,LDVX8772,,0,,,0,0,,POINT (1.767631229299757 50.468469719977314),50.468469719977314,1.767631229299757
3024118,E,C,R,L3C,,62588,1460,,1,0,0,0,0,C,,0,10920685,325.9,395,62588,,0,,,,,,1,A,0,0,0,0,,2022-04-19,XZBS7449NP,MON800165,0,,,0,0,,POINT (1.77012579991656 50.464358209218524),50.464358209218524,1.77012579991656
1064407,E,T,R,L2T,,62289,0400,,1,0,0,0,0,,,0,4626068,330.7,69,62289,ENV-62289-C2,0,,62289|0400|,69|62289,0550,62289,1,B,0,0,0,0,,2016-11-10,pwnext974,,0,,,0,0,,POINT (1.7616145214272927 50.45914927589696),50.45914927589696,1.7616145214272927
1064419,E,T,R,L0T,,62289,0400,,1,0,0,0,0,,,0,4708778,54.6,81,62289,02A9025A671FA1C81C259BC0411B40D3,0,,62289|0400|,|,,62289,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7602802569283131 50.45823261940135),50.45823261940135,1.7602802569283131
1064448,E,T,R,B2,,62588,,,1,0,0,0,0,,,0,4600956,76.2,21,62588,02A9025A94AB934C1C259BC2C61B6E86,0,,||,21|,21,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.758085091238173 50.459763032398286),50.459763032398286,1.758085091238173
1064460,E,T,H,OHN,D2,62588,0200,,1,0,0,0,0,,,0,4709664,332.9,29,62588,02A902710A4BF0671C259BCABC1C2300,0,,62588|0200|,29|62588,10,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.762397304805577 50.46396652673989),50.46396652673989,1.762397304805577
1064464,E,T,R,L1T,,62588,1100,16,1,0,0,0,0,,,0,4689522,349.4,33,62588,02A9025ADBA6DC761C259BCB961C3431,0,,62588|1100|16,537|,537,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7609928456805466 50.460942500012735),50.460942500012735,1.7609928456805466
1064470,E,T,H,OHN,D2,62588,1100,,1,0,0,0,0,,,0,4597908,12.9,39,62588,02A9025AEDD0019B1C259BCCA81C4866,0,,62588|1100|,39|62588,17,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7604079040230363 50.46202802146979),50.46202802146979,1.7604079040230363
1064471,E,T,H,OHN,D2,62588,1100,,1,0,0,0,0,,,0,4599561,70.1,40,62588,02A9025AEC4FC5BD1C259BCCB11C4980,0,,62588|1100|,40|62588,,18,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7599888931861851 50.46191300736745),50.46191300736745,1.7599888931861851
1064511,E,T,R,L3T,,62588,0140,,1,0,0,0,0,,,0,4636498,1.9,79,62588,02A90270C9F680991C259BD2BB1CCC32,0,,62588|0140|,0622|,0622,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7596381656105815 50.46708377169705),50.46708377169705,1.7596381656105815
1064981,E,T,H,OHN,D2,62588,,,1,0,0,0,0,,,0,4646988,1.0,88,62588,02A90271306493651C259C399722D020,0,,||,2|,2,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7640502014235926 50.46439689064632),50.46439689064632,1.7640502014235926
1064998,E,T,R,A3,,62588,,,1,0,0,0,0,,,0,4686740,49.9,105,62588,ENV-62588-D,0,,62588||,105|62588,119,62588,1,B,0,0,0,0,,2015-05-12,pwnext475,,0,,,0,0,,POINT (1.7647200646830117 50.4628266273655),50.4628266273655,1.7647200646830117
1065072,E,T,H,OHN,sp,62588,,,1,0,0,0,0,,,0,4673358,52.2,179,62588,02A90271F13722ED1C259C4CED244569,0,,62588||,179|62588,26,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.7676398998481149 50.467699418165594),50.467699418165594,1.7676398998481149
1499390,E,T,R,REG,,62588,,,1,0,0,0,0,T,,0,7114862,344.9,240,62588,,0,,62588||,|,,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.758789560245277 50.45827717178648),50.45827717178648,1.758789560245277
1772452,E,T,R,REG,,62588,1320,36,1,0,0,0,0,T,,0,7885579,43.5,266,62588,ENV-62588-D,0,,62588|1320|36,266|62588,,,1,B,0,0,0,0,,2015-05-05,pwnext475,,0,,,0,0,,POINT (1.771171222188189 50.47059230382727),50.47059230382727,1.771171222188189
2218498,E,T,R,L3T,,62588,,,1,0,0,0,0,T,,0,9086955,263.9,273,62588,,0,,62588||,273|62588,526,62588,1,B,0,0,0,0,,,,,0,,,0,0,,POINT (1.757979740624158 50.45846148352764),50.45846148352764,1.757979740624158
2416808,E,T,R,L2T,,62588,1320,,1,0,0,0,0,T,,0,9553261,55.4,290,62588,ENV-62588-D,0,,62588|1320|,290|62588,506,62588,1,B,0,0,0,0,,2015-05-05,pwnext475,,0,,,0,0,,POINT (1.7680396137142298 50.46810451597075),50.46810451597075,1.7680396137142298
2417602,E,T,R,L3T,,62588,1242,,1,0,0,0,0,T,,0,9555526,0.0,339,62588,MaN EUROVIA 12/2020,0,,,,471,62588,1,B,0,0,0,0,,2020-12-04,nnjc0380,,0,,,0,0,,POINT (1.7707541920405967 50.46676010753521),50.46676010753521,1.7707541920405967
2417605,E,T,R,L2T,,62588,0372,,1,0,0,0,0,T,,0,9555586,289.3,342,62588,MaN EUROVIA 12/2020,0,,,,475,62588,1,B,0,0,0,0,,2020-12-04,nnjc0380,,0,,,0,0,,POINT (1.7707923794356069 50.46619075022789),50.46619075022789,1.7707923794356069
