image_id,latitude_SIG,longitude_SIG,pano_lat,pano_lon,distance_m,bearing_deg,pitch_deg,fov,date,pano_id
1402,45.6989442714923,4.804868709416068,45.69906745378153,4.804901424040676,13.93,190.51,-10.17,35,2024-07,f5qzmQ4GPFXbDnW83foFzA
1403,45.70230823983575,4.79636002876781,45.70236552261868,4.796296106352417,8.08,142.07,-17.2,45,2024-08,QZi6h6H5_IJfJ2b9equqUg
1406,45.703700013992936,4.807541477811448,45.70365812928989,4.807441604042351,9.05,59.01,-15.45,45,2024-08,r29ogw7apBatdw77C6-QqQ
1407,45.69780060765073,4.795706007141405,45.69784576631056,4.795788040315988,8.11,231.76,-17.13,45,2024-07,5b7bKFwoWjc8jbE8abHLxw
1409,45.70124595222818,4.805937760739275,45.70118980495601,4.805938318357972,6.24,359.6,-21.82,55,2015-05,ZngHWjf__uQAqT3nSIZAXw
1413,45.69860257059681,4.7947470997329,45.69857010345424,4.794830961324189,7.45,299.0,-18.56,45,2024-06,e6FdHIFQg4TU3vT5g2BXQg
1414,45.69916810127557,4.80617567823143,45.6990801186823,4.80611236317146,10.95,26.68,-12.86,35,2024-07,JV7VIJjbuwnZOi09lXF6ZQ
1417,45.80545882472395,4.771122837869418,45.80544046950278,4.771214818839511,7.42,285.97,-18.63,45,2024-09,eMhfIZxsuV_OL4tgC13sWw
1418,45.700110493790405,4.806722257409688,45.70008206968028,4.806648889281925,6.52,60.98,-20.99,55,2015-05,Hy9EUEGAX12XpCkwcn-cFg
1419,45.69898127622678,4.801313546537074,45.69895870193266,4.801403940643048,7.46,289.68,-18.54,45,2024-06,djiqrJsWYNykfaAwG9bBDA
1420,45.70022708361844,4.805781243226461,45.70017625135908,4.8057547744431,6.01,19.98,-22.57,55,2023-06,_V1Nq2ifys2OKyIEYyrdxw
1421,45.69740075757175,4.808998438476373,45.69746038922391,4.809049528938337,7.73,210.9,-17.93,45,2024-07,GQs59isUC8COE7f29IEpWw
1423,45.69991403987932,4.804853502817701,45.69983221214149,4.804938346536267,11.23,324.09,-12.55,35,2024-08,s6aCDF8l_RvORCl2nvtYQg
1425,45.70160826306064,4.7958509244890815,45.7015749827113,4.795944465393243,8.15,297.0,-17.05,45,2024-08,-0ihGp4ot4Aq77G9abDHXA
1426,45.700184390770566,4.804149094982655,45.70020399005012,4.804264271338587,9.21,256.31,-15.19,45,2024-07,ctMhylGaQt_OfBegSLX5Nw
1427,45.7006270853046,4.8067113980655884,45.70054938334368,4.806788252509176,10.5,325.36,-13.39,35,2015-05,A09p4kOnaemP8ndiaq1PkQ
1429,45.69892485784928,4.805841596826714,45.699031694164,4.8059108847737,13.04,204.37,-10.85,35,2024-06,KMM5JfHVXO5pYO8leRopWw
1430,45.699828568860944,4.795218999093807,45.69983589810975,4.795328259930416,8.52,264.51,-16.35,45,2024-06,Q7As28ETTL8hysES_3H9vA
1431,45.70067576944759,4.795544378543119,45.70062708733943,4.79563785674889,9.06,306.71,-15.43,45,2024-06,6_JbP3oaCMIXSGh7650R0w
1435,45.7035023005215,4.807728648617397,45.70343785155085,4.807686097869745,7.89,24.75,-17.58,45,2015-05,_sn748cqOVTbbmHbFaSclQ
1436,45.69861507867368,4.794933480520828,45.69866079525721,4.794868953439408,7.14,135.41,-19.3,45,2024-06,q8lD33GdCkDsOQzCCfsHpg
1437,45.69558230749088,4.80242312667944,45.69560081265751,4.802312991320453,8.8,103.53,-15.86,45,2024-06,Ykj7u5jOkX_H9dA8v3WT3g
1438,45.69856923722087,4.794909373922843,45.69857010345424,4.794830961324189,6.09,90.91,-22.32,55,2024-06,e6FdHIFQg4TU3vT5g2BXQg
1439,45.6990490625903,4.808129202225985,45.69916222356075,4.808131570861139,12.58,180.84,-11.24,35,2024-08,cFFyo2mkmrhMcFkiRbSaXg
1440,45.70103687441651,4.804427198698528,45.70096603937125,4.804452254339503,8.11,346.12,-17.13,45,2008-11,lIo3r-HzvYcFyTaUjgMWwA
1441,45.699165994656376,4.807829853479109,45.69908703749312,4.807898714676211,10.28,328.65,-13.67,35,2024-08,apmfW8saejnWtNW6PbD2vA
1443,45.70338256964459,4.7965999468439575,45.70334108593145,4.79667735617787,7.58,307.5,-18.26,45,2024-08,xEaJIuY4mwrLlYdMOa5hig
1444,45.69921640520968,4.804408322022476,45.69920289231095,4.804520398488369,8.83,279.79,-15.8,45,2024-07,8dAMMjuNDXllOuFmFEMTrQ
1446,45.70412652810057,4.80958928112649,45.70416910293804,4.809423680327228,13.7,110.21,-10.34,35,2008-11,DfZPfYpaExFTSaEyuwR68A
1448,45.69987223963762,4.806077223572416,45.69984022004412,4.805975932441503,8.63,65.65,-16.15,45,2024-08,_4ExqLujoKPb532NwbbTxg
